1,1958-07-02 22:46:59.000000
2,1916-07-26 21:34:50.000000
3,1957-04-02 02:42:31.000000
4,1919-07-18 23:32:00.000000
5,1914-05-28 08:07:44.000000
6,1971-11-08 11:49:02.000000
7,1970-03-24 03:12:52.000000
8,1957-09-08 07:55:10.000000
9,1940-10-06 04:10:18.000000
10,1986-05-23 02:44:55.000000
11,1940-07-24 23:25:30.000000
12,2000-11-06 13:28:45.000000
13,2002-07-04 23:32:39.000000
14,1949-06-12 02:08:37.000000
15,1924-03-27 03:04:02.000000
16,1979-12-03 22:35:14.000000
17,1915-06-27 04:16:40.000000
18,1941-06-05 11:19:04.000000
19,1975-09-09 14:56:37.000000
20,2005-06-20 20:05:00.000000
21,1988-10-09 16:48:12.000000
22,1926-01-13 19:09:42.000000
23,1928-02-10 08:36:47.000000
24,1988-03-21 05:04:03.000000
25,1982-11-05 17:52:06.000000
26,1966-12-20 05:11:06.000000
27,1965-01-13 17:16:03.000000
28,1956-05-27 04:32:15.000000
29,1999-07-07 19:06:31.000000
30,1924-10-21 14:05:49.000000
31,1970-07-21 22:49:37.000000
32,1960-06-24 01:40:38.000000
33,1932-11-20 11:10:08.000000
34,1954-03-07 19:06:08.000000
35,1954-07-07 19:03:28.000000
36,1923-12-07 04:01:17.000000
37,1988-06-21 09:02:23.000000
38,1956-06-04 14:27:53.000000
39,1951-09-10 06:39:20.000000
40,1970-05-12 08:20:59.000000
41,1917-05-24 12:39:50.000000
42,1984-03-26 23:47:18.000000
43,1986-04-20 21:13:39.000000
44,1979-09-14 02:07:01.000000
45,1997-12-11 05:18:02.000000
46,1977-01-09 17:46:01.000000
47,1965-11-17 21:36:10.000000
48,1986-10-23 17:46:05.000000
49,1969-06-27 05:21:03.000000
50,1961-09-03 04:40:13.000000
51,1923-08-06 10:10:15.000000
52,1975-01-09 20:50:34.000000
53,1974-10-18 18:32:44.000000
54,1945-04-18 10:32:10.000000
55,1942-09-24 04:00:18.000000
56,1986-03-24 21:24:10.000000
57,2001-08-05 09:25:24.000000
58,1946-10-17 18:39:03.000000
59,1984-07-26 23:58:02.000000
60,1932-10-12 10:42:45.000000
61,1980-08-03 15:36:57.000000
62,1978-05-05 09:45:20.000000
63,
64,1968-04-17 20:39:20.000000
65,1968-07-13 16:14:17.000000
66,1987-02-23 02:17:51.000000
67,1968-07-18 11:09:05.000000
68,1933-06-04 07:00:06.000000
69,1967-10-18 20:29:07.000000
70,1919-10-22 21:53:26.000000
71,1975-12-14 16:25:14.000000
72,1993-10-14 16:32:31.000000
73,1993-05-10 11:03:09.000000
74,1950-06-07 04:24:04.000000
75,1922-03-23 03:48:15.000000
76,1980-04-26 20:20:37.000000
77,1961-07-26 22:20:18.000000
78,1997-01-09 11:44:30.000000
79,1967-06-23 00:45:30.000000
80,1982-11-26 08:21:43.000000
81,1921-10-19 17:09:19.000000
82,1979-10-04 04:28:17.000000
83,1958-06-02 20:46:03.000000
84,1957-12-03 01:44:41.000000
85,1936-10-23 21:46:20.000000
86,1995-05-12 14:04:37.000000
87,1937-11-28 15:03:21.000000
88,1962-10-24 13:36:49.000000
89,1960-04-27 19:09:48.000000
90,1981-11-21 11:06:08.000000
91,1951-01-02 14:48:30.000000
92,2000-04-06 05:13:02.000000
93,1991-09-16 04:51:24.000000
94,1983-09-25 06:45:52.000000
95,1959-03-11 05:31:11.000000
96,1932-05-05 15:27:26.000000
97,1950-04-12 13:25:41.000000
98,1932-11-10 20:46:35.000000
99,1971-07-14 16:02:18.000000
100,1985-09-24 01:13:11.000000
101,1932-07-06 13:13:55.000000
102,1976-06-07 04:14:13.000000
103,1924-09-16 22:46:13.000000
104,1929-06-09 17:48:04.000000
105,2005-05-20 20:05:01.000000
106,1922-12-27 16:14:19.000000
107,1977-10-14 16:50:18.000000
108,1985-10-24 20:39:34.000000
109,1980-03-05 15:20:04.000000
110,1978-06-21 00:01:59.000000
111,1933-04-05 22:21:16.000000
112,1991-05-18 20:32:00.000000
113,1999-11-17 11:37:02.000000
